season,round,date_utc,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score,winner_team,margin,is_final,is_grand_final,game_id
2024,15,2024-06-22 13:45:00,Adelaide Oval,Port Adelaide,Brisbane Lions,10,13,73,23,14,152,Brisbane Lions,-79,0,0,35821
2024,15,2024-06-22 16:35:00,Sydney Showground,Greater Western Sydney,Sydney,11,9,75,15,12,102,Sydney,-27,0,0,35822
2024,15,2024-06-22 19:30:00,M.C.G.,Melbourne,North Melbourne,11,4,70,10,7,67,Melbourne,3,0,0,35823
2024,15,2024-06-23 13:00:00,Docklands,Essendon,West Coast,19,8,122,13,14,92,Essendon,30,0,0,35824
2024,15,2024-06-23 16:00:00,Perth Stadium,Fremantle,Gold Coast,12,13,85,10,5,65,Fremantle,20,0,0,35825
2024,16,2024-06-28 19:40:00,Gabba,Brisbane Lions,Melbourne,11,20,86,11,15,81,Brisbane Lions,5,0,0,35826
2024,16,2024-06-29 13:45:00,Docklands,North Melbourne,Western Bulldogs,9,6,60,11,11,77,Western Bulldogs,-17,0,0,35829
2024,16,2024-06-29 13:45:00,S.C.G.,Sydney,Fremantle,14,14,98,15,9,99,Fremantle,-1,0,0,35832
2024,16,2024-06-29 16:35:00,Carrara,Gold Coast,Collingwood,14,17,101,13,12,90,Gold Coast,11,0,0,35828
2024,16,2024-06-29 19:30:00,Adelaide Oval,Adelaide,Greater Western Sydney,13,16,94,12,6,78,Adelaide,16,0,0,35833
2024,16,2024-06-29 19:30:00,M.C.G.,Geelong,Essendon,16,9,105,9,6,60,Geelong,45,0,0,35827
2024,16,2024-06-30 13:10:00,Docklands,St Kilda,Port Adelaide,8,12,60,8,14,62,Port Adelaide,-2,0,0,35831
2024,16,2024-06-30 15:20:00,M.C.G.,Richmond,Carlton,10,10,70,20,11,131,Carlton,-61,0,0,35830
2024,16,2024-06-30 16:40:00,Perth Stadium,West Coast,Hawthorn,4,9,33,14,10,94,Hawthorn,-61,0,0,35834
2024,17,2024-07-05 19:40:00,M.C.G.,Collingwood,Essendon,12,8,80,13,14,92,Essendon,-12,0,0,35836
2024,17,2024-07-06 13:45:00,Docklands,North Melbourne,Gold Coast,13,9,87,12,11,83,North Melbourne,4,0,0,35840
2024,17,2024-07-06 13:45:00,Adelaide Oval,Port Adelaide,Western Bulldogs,15,12,102,8,6,54,Port Adelaide,48,0,0,35842
2024,17,2024-07-06 16:35:00,Kardinia Park,Geelong,Hawthorn,16,14,110,9,5,59,Geelong,51,0,0,35837
2024,17,2024-07-06 19:30:00,Sydney Showground,Greater Western Sydney,Carlton,18,8,116,16,8,104,Greater Western Sydney,12,0,0,35838
2024,17,2024-07-06 20:10:00,Perth Stadium,Fremantle,Richmond,16,9,105,7,12,54,Fremantle,51,0,0,35843
2024,17,2024-07-07 13:10:00,M.C.G.,Melbourne,West Coast,17,10,112,8,10,58,Melbourne,54,0,0,35839
2024,17,2024-07-07 15:20:00,Docklands,St Kilda,Sydney,13,6,84,11,16,82,St Kilda,2,0,0,35841
2024,17,2024-07-07 16:10:00,Gabba,Brisbane Lions,Adelaide,14,13,97,13,8,86,Brisbane Lions,11,0,0,35835
